354	1.24	0.42	1.50E-01
355	1.24	0.45	1.21E-01
356	1.24	0.48	9.31E-02
357	1.24	0.51	6.49E-02
358	1.24	0.54	3.68E-02
359	1.24	0.57	8.83E-03
360	1.24	0.6	-1.90E-02
361	1.24	0.6251	3.39E-03
362	1.24	0.65	2.57E-02
363	1.24	0.675	4.83E-02
364	1.24	0.7	7.10E-02
365	1.24	0.73	4.33E-02
366	1.24	0.76	1.58E-02
367	1.24	0.79	-1.15E-02
368	1.24	0.82	-3.86E-02
369	1.3	0	5.69E-01
370	1.3	0.05	5.19E-01
371	1.3	0.1001	4.69E-01
372	1.3	0.1501	4.20E-01
373	1.3	0.2	3.71E-01
374	1.3	0.2251	3.47E-01
375	1.3	0.2501	3.22E-01
376	1.3	0.275	2.98E-01
377	1.3	0.3	2.74E-01
378	1.3	0.33	2.45E-01
379	1.3	0.36	2.16E-01
380	1.3	0.39	1.88E-01
381	1.3	0.42	1.59E-01
382	1.3	0.45	1.31E-01
383	1.3	0.48	1.03E-01
384	1.3	0.51	7.44E-02
385	1.3	0.54	4.64E-02
386	1.3	0.57	1.84E-02
387	1.3	0.6	-9.38E-03
388	1.3	0.6251	1.36E-02
389	1.3	0.65	3.65E-02
390	1.3	0.675	5.96E-02
391	1.3	0.7	8.27E-02
392	1.3	0.73	5.51E-02
393	1.3	0.76	2.75E-02
394	1.3	0.79	1.08E-04
395	1.3	0.82	-2.72E-02
396	1.3	0.85	-5.45E-02
397	1.36	0	5.77E-01
398	1.36	0.05	5.27E-01
399	1.36	0.1001	4.78E-01
400	1.36	0.1501	4.29E-01
401	1.36	0.2	3.80E-01
402	1.36	0.2251	3.55E-01
403	1.36	0.2501	3.31E-01
404	1.36	0.275	3.07E-01
405	1.36	0.3	2.83E-01
406	1.36	0.33	2.54E-01
407	1.36	0.36	2.25E-01
408	1.36	0.39	1.97E-01
409	1.36	0.42	1.68E-01
410	1.36	0.45	1.40E-01
411	1.36	0.48	1.12E-01
412	1.36	0.51	8.34E-02
413	1.36	0.54	5.54E-02
414	1.36	0.57	2.75E-02
415	1.36	0.6	-2.59E-04
416	1.36	0.6251	2.33E-02
417	1.36	0.65	4.67E-02
418	1.36	0.675	7.03E-02
419	1.36	0.7	9.40E-02
420	1.36	0.73	6.63E-02
421	1.36	0.76	3.88E-02
422	1.36	0.79	1.13E-02
423	1.36	0.82	-1.61E-02
424	1.36	0.85	-4.35E-02
425	1.36	0.88	-7.07E-02
426	1.42	0	5.86E-01
427	1.4198	0.05	5.36E-01
428	1.42	0.1001	4.86E-01
429	1.42	0.1501	4.37E-01
430	1.42	0.2	3.88E-01
431	1.4198	0.2251	3.64E-01
432	1.42	0.2501	3.39E-01
433	1.42	0.275	3.15E-01
434	1.42	0.3	2.91E-01
435	1.42	0.33	2.62E-01
436	1.42	0.36	2.34E-01
437	1.42	0.39	2.05E-01
438	1.42	0.42	1.77E-01
439	1.42	0.45	1.48E-01
440	1.42	0.48	1.20E-01
441	1.42	0.51	9.20E-02
442	1.42	0.54	6.40E-02
443	1.42	0.57	3.61E-02
444	1.42	0.6	8.38E-03
445	1.4198	0.6251	3.25E-02
446	1.42	0.65	5.65E-02
447	1.42	0.675	8.06E-02
448	1.42	0.7	1.05E-01
449	1.42	0.73	7.72E-02
450	1.42	0.76	4.96E-02
451	1.42	0.79	2.22E-02
452	1.42	0.82	-5.25E-03
453	1.42	0.85	-3.26E-02
454	1.4198	0.88	-6.00E-02
455	1.4198	0.91	-8.73E-02
456	1.48	0	5.93E-01
457	1.48	0.05	5.44E-01
458	1.48	0.1001	4.94E-01
459	1.48	0.1501	4.45E-01
460	1.48	0.2	3.96E-01
461	1.48	0.2251	3.72E-01
462	1.48	0.2501	3.47E-01
463	1.48	0.275	3.23E-01
464	1.48	0.3	2.99E-01
465	1.48	0.33	2.70E-01
466	1.48	0.36	2.42E-01
467	1.48	0.39	2.13E-01
468	1.48	0.42	1.85E-01
469	1.48	0.45	1.56E-01
470	1.48	0.48	1.28E-01
471	1.48	0.51	1.00E-01
472	1.48	0.54	7.21E-02
473	1.48	0.57	4.43E-02
474	1.48	0.6	1.65E-02
475	1.48	0.6251	4.12E-02
476	1.48	0.65	6.58E-02
477	1.48	0.675	9.05E-02
478	1.48	0.7	1.15E-01
479	1.48	0.73	8.77E-02
480	1.48	0.76	6.02E-02
481	1.48	0.79	3.28E-02
482	1.48	0.82	5.40E-03
483	1.48	0.85	-2.19E-02
484	1.48	0.88	-4.92E-02
485	1.48	0.91	-7.64E-02
486	1.48	0.94	-1.04E-01
487	1.54	0	6.01E-01
488	1.54	0.05	5.51E-01
489	1.54	0.1001	5.01E-01
490	1.54	0.1501	4.52E-01
491	1.54	0.2	4.03E-01
492	1.54	0.2251	3.79E-01
493	1.54	0.2501	3.55E-01
494	1.54	0.275	3.31E-01
495	1.54	0.3	3.07E-01
496	1.54	0.33	2.78E-01
497	1.54	0.36	2.49E-01
498	1.54	0.39	2.21E-01
499	1.54	0.42	1.92E-01
500	1.54	0.45	1.64E-01
501	1.54	0.48	1.36E-01
502	1.54	0.51	1.08E-01
503	1.54	0.54	7.97E-02
504	1.54	0.57	5.19E-02
505	1.54	0.6	2.42E-02
506	1.54	0.6251	4.95E-02
507	1.54	0.65	7.47E-02
508	1.54	0.675	1.00E-01
509	1.54	0.7	1.26E-01
510	1.54	0.73	9.79E-02
511	1.54	0.76	7.05E-02
512	1.54	0.79	4.31E-02
513	1.54	0.82	1.58E-02
514	1.5398	0.85	-1.14E-02
515	1.54	0.88	-3.85E-02
516	1.54	0.91	-6.56E-02
517	1.54	0.94	-9.26E-02
